OBJECT_NAME,NORAD_CAT_ID,COUNTRY,LAUNCH_DATE,inclination,eccentricity,mean_motion,cluster,cluster_mean_motion,orbit_type
DFH-1,4382,PRC,1970-04-24,1.1943305524689716,0.1039387,13.13386676,0,14.787722438177877,LEO
CZ-1 R/B,4392,PRC,1970-04-24,1.191770154456296,0.0007291,16.36991915,0,14.787722438177877,LEO
CZ-1 DEB,4400,PRC,1970-04-24,1.1942153607383401,0.0062259,15.87910395,0,14.787722438177877,LEO
SJ-1,5007,PRC,1971-03-03,1.2183654815981855,0.0073328,16.17275825,0,14.787722438177877,LEO
CZ-1 R/B,5041,PRC,1971-03-03,1.2181420794539304,0.0028369,16.30152967,0,14.787722438177877,LEO
JSSW-1,8053,PRC,1975-07-26,1.2042998731563632,0.006666,16.24788453,0,14.787722438177877,LEO
CZ-2B R/B,8054,PRC,1975-07-26,1.2044796420693187,0.0082539,16.194551440000005,0,14.787722438177877,LEO
FSW-0 1,8452,PRC,1975-11-26,1.0983880581575913,0.0080098,16.198827699999995,0,14.787722438177877,LEO
CZ-2C R/B,8453,PRC,1975-11-26,1.0983618782188116,0.0072283,16.25110066,0,14.787722438177877,LEO
CZ-2C DEB,8454,PRC,1975-11-26,1.0983531515725515,0.0350858,15.59974317,0,14.787722438177877,LEO
CZ-2C DEB,8455,PRC,1975-11-26,1.0949375422263987,0.0401405,15.38720108,0,14.787722438177877,LEO
CZ-2C DEB,8456,PRC,1975-11-26,1.0987458506542502,0.0107749,16.10005287,0,14.787722438177877,LEO
CZ-2C DEB,8457,PRC,1975-11-26,1.0977248330418337,0.0155311,15.987886049999998,0,14.787722438177877,LEO
JSSW-2,8488,PRC,1975-12-16,1.204004912512776,0.0038502,16.35038143,0,14.787722438177877,LEO
CZ-2B R/B,8491,PRC,1975-12-16,1.2042073707060075,0.00689,16.22258624,0,14.787722438177877,LEO
JSSW-3,9394,PRC,1976-08-30,1.2053732506463397,0.0094605,16.28074847,0,14.787722438177877,LEO
CZ-2B R/B,9395,PRC,1976-08-30,1.2058427442151263,0.0139028,16.13258679,0,14.787722438177877,LEO
